id,group_code,index,register,name,unit,scale,access,default,live_raw,live_eng,map_status
F3.06,F3,6,0xF306,characteristi Tens: \ 0000 increases. c choice Reserved 0001: Negative control: When Hundreds: the feedback signal is bi,,1,rw,0.0,0,0.0,ok
F3.07,F3,7,0xF307,"detection ~ s still 0, the PID feedback time of PID disconnection fault is feedback reported. This function is",s,10,rw,30.0,300,30.0,ok
F3.08,F3,8,0xF308,function 1: Sleep mode 1 \ 1 pressure holding detection option 2: Sleep mode 2 time and the sleep rate are,,1,rw,1.0,2,2.0,ok
F3.09,F3,9,0xF309,detection ~ s PID wakeup detection delay delay,s,10,rw,3.0,1,0.1,ok
F3.10,F3,10,0xF30A,"detection ~ s value. If it enters standby in delay advance or it is started and stopped frequently, increase",s,10,rw,0.5,50,5.0,ok
F3.11,F3,11,0xF30B,deviation ~ bar within standby deviation,bar,10,rw,0.1,1,0.1,ok
F3.12,F3,12,0xF30C,"hold ~ Hz duration, PID enters standby",Hz,100,rw,20.0,3900,39.0,ok
F3.13,F3,13,0xF30D,"hold ~ Hz duration, PID enters standby frequency status.",Hz,100,rw,20.0,3900,39.0,ok
F3.14,F3,14,0xF30E,"operation 0~ s sleep, the running time of PID",s,10,rw,3.0,0,0.0,ok
F3.15,F3,15,0xF30F,Sleep detection (see manual),Hz,100,rw,,300,3.0,ok
F3.16,F3,16,0xF310,pumping ~ (%) the parameter is reused in the,,1,rw,30.0,3780,3780.0,ok
F3.17,F3,17,0xF311,Ratio 0~30 \ 9 Set bigger make sleep quicker,,1,rw,9.0,9,9.0,ok
F3.18,F3,18,0xF312,disconnected 0~ V the system. It is judged by the detection voltage. value,V,1,rw,0.2,3,3.0,ok
F3.19,F3,19,0xF313,gain 2 ~ % Integral time,0.0     %,1,rw,20.0,20,20.0,ok
F3.20,F3,20,0xF314,~ s,s,10,rw,2.0,20,2.0,ok
F4.00,F4,0,0xF400,"shortage 0~2 \ 2 frequency, pressure and current protection 2: Enabled. Judge by outlet pressure",bar,10,rw,2.0,2,0.2,ok
F4.01,F4,1,0xF401,~ bar only need to set parameters of,bar,10,rw,3.0,6,0.6,ok
F4.02,F4,2,0xF402,"water 0~ Hz When running frequency is shortage bigger than this frequency, it is protection judged as water shortage.",Hz,100,rw,48.0,5000,50.0,ok
F4.03,F4,3,0xF403,water ~ s fault will be reported after this shortage time.,s,10,rw,60.0,300,30.0,ok
F4.04,F4,4,0xF404,shortage 0~ % current. When running current,0.0      %,1,rw,40.0,700,700.0,ok
F4.05,F4,5,0xF405,of water 0~9999 min 15 reset water shortage faults. If it shortage is not the “Set 0” protection,min,10,rw,15.0,5,0.5,ok
F4.06,F4,6,0xF406,"of water 0~9999 \ 10 reaches reset times, water shortage shortage fault can’t be cleared protection automatically. Press",,1,rw,10.0,9999,9999.0,ok
F4.07,F4,7,0xF407,pressure 0~ bar When the VFD detection,bar,10,rw,1.0,30,3.0,ok
F4.08,F4,8,0xF408,detect time 0~ s reset to E027. This is,s,10,rw,20.0,200,20.0,ok
F4.09,F4,9,0xF409,abnormal ~ s pressure alarm and failure pressure alarm alarm,s,10,rw,3.0,30,3.0,ok
F4.10,F4,10,0xF40A,operation Hz frequency frequency,Hz,100,rw,10.0,2,0.02,ok
F4.11,F4,11,0xF40B,running time 65000s/min s/min 60 .When the interval is set,s,10,rw,60.0,0,0.0,ok
F4.12,F4,12,0xF40C,operation 65000s/min s/min 300,s,10,rw,300.0,100,10.0,ok
F4.13,F4,13,0xF40D,time of burst 0~1000 s 0 starting pressure. It will report pipes E030 fault after the time of,s,10,rw,0.0,0,0.0,ok
F4.15,F4,15,0xF40F,Set“0”: The detection of burst pipes is invalid.,,1,unknown,,,,fail
F5.00,F5,0,0xF500,The motor type 0～2 1 0 synchronous motor (PM) 2: Single-phase motor value of,,1,rw_stop,0.0,0,0.0,ok
F5.01,F5,1,0xF501,power ~ kW correspo nameplate.,kW,10,rw_stop,,22,2.2,ok
F5.02,F5,2,0xF502,voltage 1~440 V correspo nameplate. nding motor,V,100,rw_stop,,380,3.8,ok
F5.03,F5,3,0xF503,current 0.01A～50A / correspo nameplate.,0.01A,100,rw_stop,,100,1.0,ok
F5.04,F5,4,0xF504,frequency ~ Hz correspo nameplate.,Hz,100,rw_stop,,5000,50.0,ok
F5.05,F5,5,0xF505,speed 1~36000 rpm correspo nameplate.,,1,rw_stop,,3000,3000.0,ok
F5.06,F5,6,0xF506,motor 2～48 4 Motor no-load,,1,rw_stop,4.0,2,2.0,ok
F5.07,F5,7,0xF507,current ～50.0A,0.0A,1,rw_stop,,51,51.0,ok
F5.08,F5,8,0xF508,Motor stator resistance,,1,rw_stop,,1140,1140.0,ok
F5.09,F5,9,0xF509,Motor rotor resistance,,1,rw_stop,,907,907.0,ok
F5.10,F5,10,0xF50A,Motor stator inductance,,1,rw_stop,,1566,1566.0,ok
F5.11,F5,11,0xF50B,rotor mutual inductance 6500.0mH,,1,rw_stop,,1499,1499.0,ok
F5.12,F5,12,0xF50C,parameters self-tuning,,1,rw_stop,0.0,0,0.0,ok
F7.00,F7,0,0xF700,input terminal,,1,rw_stop,1.0,1,1.0,ok
F7.01,F7,1,0xF701,input terminal resetting 11,,1,rw_stop,11.0,11,11.0,ok
F7.02,F7,2,0xF702,input terminal,,1,rw_stop,18.0,18,18.0,ok
F7.07,F7,7,0xF707,terminal 1 0: No function 1 2,,1,rw_stop,2.0,2,2.0,ok
F7.08,F7,8,0xF708,1 1 selection,,1,rw_stop,1.0,1,1.0,ok
F8.00,F8,0,0xF800,Communication address,,1,rw,1.0,1,1.0,ok
F8.01,F8,1,0xF801,Communication baud rate,,1,rw,5.0,5,5.0,ok
F8.02,F8,2,0xF802,"Data bit 2: Odd check \ 3 must be the same as check setting (8 ,0 ,1) the data bit check 3: No check setting of the PC.",,1,rw,3.0,3,3.0,ok
F8.03,F8,3,0xF803,Response 0~20 ms 2 delay RS485,ms,10,rw,2.0,4,0.4,ok
F8.04,F8,4,0xF804,Time out ~ s : The function is disabled. fault time,s,10,rw,0.0,10,1.0,ok
F8.05,F8,5,0xF805,current 0: 0.01A 1: 0.1A,0.01A,100,rw,0.0,1,0.01,ok
F9.00,F9,0,0xF900,Temperature of radiator,,1,ro,0.0,25,25.0,ok
F9.01,F9,1,0xF901,time of this 0~65535 min 0 VFD. (this is the VFD statistical time). Running,min,10,rw,0.0,0,0.0,ok
F9.12,F9,12,0xF90C,time of this 0~65535 min host drives The time is,min,10,ro,65535.0,0,0.0,ok
F9.13,F9,13,0xF90D,time of No. 0~65535 min the host and count the running time of each machine and 1 auxiliary auxiliary,min,10,ro,,29999,2999.9,ok
F9.14,F9,14,0xF90E,time of No. 0~65535 min 2 auxiliary,min,10,ro,65535.0,29999,2999.9,ok
F9.15,F9,15,0xF90F,time of No. 0~65535 min 3 auxiliary Running,min,10,ro,65535.0,29999,2999.9,ok
F9.16,F9,16,0xF910,time of No. 0~65535 min 4 auxiliary Running,min,10,ro,65535.0,29999,2999.9,ok
F9.17,F9,17,0xF911,time of No. 0~65535 min 5 auxiliary,min,10,ro,65535.0,29999,2999.9,ok
FD.00,FD,0,0xFD00,Password of the agent (group FD),,1,rw,0.0,,,fail
FD.01,FD,1,0xFD01,Restore factory defaults,,1,rw_stop,0.0,0,0.0,ok
FD.02,FD,2,0xFD02,Parameter locked,,1,rw,0.0,0,0.0,ok
FE.00,FE,0,0xFE00,Password (group FE),,1,rw,0.0,0,0.0,ok
FE.01,FE,1,0xFE01,Fault record display times,h,10,rw,0.0,3,0.3,ok
FE.02,FE,2,0xFE02,Power-on arrival time setting,h,10,rw,0.0,0,0.0,ok
FE.03,FE,3,0xFE03,Run time arrival setting,h,10,rw,0.0,0,0.0,ok
D0.00,D0,0,0x1001,Operating frequency,Hz,100,rw,,0,0.0,ok
D0.01,D0,1,0x1000,Setting frequency,Hz,100,rw,,0,0.0,ok
D0.02,D0,2,0x1002,Bus voltage 0.1V,0.1V,10,rw,,5517,551.7,ok
D0.03,D0,3,0x1003,Output voltage 1V,,1,rw,,0,0.0,ok
D0.04,D0,4,0x1004,Output current 0.01A（>55Kw，0.1A）,0.01A,100,rw,,0,0.0,ok
D0.05,D0,5,0x1005,Output Power 0.1kW,0.1kW,10,rw,,0,0.0,ok
D0.06,D0,6,0x1006,Output torque %,0.1%,10,rw,,0,0.0,ok
D0.07,D0,7,0x1008,DI input status 1,,1,rw,,2,2.0,ok
D0.08,D0,8,0x1009,DO output status 1,,1,rw,,0,0.0,ok
D0.09,D0,9,0x100A,AI1 voltage 0.01V - 43 -,0.09                             A,1,rw,,197,197.0,ok
D0.10,D0,10,0x100B,AI2 voltage 0.01V,0.10                              A,10,rw,,0,0.0,ok
D0.11,D0,11,0x100C,Cumulative power-on time 1H,,1,rw,,1505,1505.0,ok
D0.12,D0,12,0x100D,Cumulative running time 1H,,1,rw,,76,76.0,ok
D0.13,D0,13,0x100E,Cumulative power consumption 1kWh,,1,rw,,33,33.0,ok
D0.14,D0,14,0x1007,Load speed 1RPM,,1,rw,,0,0.0,ok
D0.15,D0,15,0x100F,PID setting,0.1Bar,10,rw,,26,2.6,ok
D0.16,D0,16,0x1010,PID feedback,0.1Bar,10,rw,,0,0.0,ok
E0.00,E0,0,0xE000,Last fault type,,1,rw,,15,15.0,ok
E0.01,E0,1,0xE001,Frequency at the last fault,,1,rw,,0,0.0,ok
E0.02,E0,2,0xE002,Current at the last fault,,1,rw,,0,0.0,ok
E0.03,E0,3,0xE003,Bus voltage at the last fault,,1,ro,,5538,5538.0,ok
E0.04,E0,4,0xE004,input terminal status at the last fault,,1,rw,,2,2.0,ok
E0.05,E0,5,0xE005,Output terminal status at the last fault,,1,rw,,0,0.0,ok
E0.06,E0,6,0xE006,VFD status at the last fault,0.06                    V,1,rw,,21,21.0,ok
E0.07,E0,7,0xE007,Failure time at the last fault (Starting from this power-on) - 44 -,,1,rw,,0,0.0,ok
E0.08,E0,8,0xE008,Failure time at the last fault (Starting from the run),,1,rw,,0,0.0,ok
E0.09,E0,9,0xE009,Reserved,,1,rw,,0,0.0,ok
E0.10,E0,10,0xE00A,Reserved - 45 -,,1,rw,,0,0.0,ok
